CXCR4 Enamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWISSADME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CUEN-449,NCc1ccc(c(c1)F)CNC(=O)CC1CCCc2c1cccc2,C20H23FN2O,326.41,24,12,0.35,6,3,2,93.42,55.12,3.12,2.79,3.53,3.29,4.4,3.43,-3.6,8.29E-02,2.54E-04,Soluble,-3.6,8.13E-02,2.49E-04,Soluble,-6.9,4.08E-05,1.25E-07,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.31,0,0,0,0,0,0.55,0,0,0,2.88
CUEN-669,Clc1ccc(cc1)N1CC(=O)C(=C1N)c1nc2c([nH]1)cccc2,C17H13ClN4O,324.76,23,15,0.06,2,2,2,93.46,75.01,2.63,3.16,2.55,2.02,2.95,2.66,-4.19,2.07E-02,6.38E-05,Moderately soluble,-4.41,1.28E-02,3.93E-05,Moderately soluble,-5.97,3.51E-04,1.08E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,Yes,Yes,-6.04,0,0,0,0,0,0.55,0,0,0,2.99
CUEN-788,NC(=O)C1CCN(CC1)c1ncccc1CNCc1cccc2c1cc[nH]2,C21H25N5O,363.46,27,15,0.33,6,3,3,110.32,87.04,1.99,1.67,1.87,1.43,2.78,1.95,-3.16,2.51E-01,6.91E-04,Soluble,-3.11,2.81E-01,7.73E-04,Soluble,-6.32,1.72E-04,4.74E-07,Poorly soluble,High,No,Yes,Yes,No,No,Yes,No,-7.33,0,0,0,0,0,0.55,0,0,1,2.78
CUEN-837,NCCN(C(=O)C1CC21CCc1c2cccc1)Cc1ccccc1,C21H24N2O,320.43,24,12,0.38,6,2,1,95.97,46.33,3,2.71,2.73,3.14,3.64,3.04,-3.51,9.95E-02,3.10E-04,Soluble,-3.34,1.48E-01,4.61E-04,Soluble,-6.17,2.16E-04,6.73E-07,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,Yes,-6.33,0,0,0,0,0,0.55,0,0,0,3.57
CUEN-645,NCC(c1ccc2c(c1)cccc2)NC(=O)C1CCCc2n1ncc2,C20H22N4O,334.41,25,15,0.3,5,3,2,98.08,72.94,2.56,2.34,2.41,1.89,2.24,2.29,-3.5,0.105,0.000315,Soluble,-3.51,0.103,0.000308,Soluble,-5.55,0.000951,0.00000284,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,No,-6.68,0,0,0,0,0,0.55,0,0,0,3.58
CUEN-575,COc1cc(cc(c1OC)OC)C(=O)NCCCc1nc2c([nH]1)cccc2,C20H23N3O4,369.41,27,15,0.3,9,5,2,102.67,85.47,2.86,3.03,2.95,1.48,3.9,2.84,-3.86,0.0514,0.000139,Soluble,-4.49,0.0119,0.0000323,Moderately soluble,-6.97,0.0000393,0.000000106,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.4,0,0,0,0,0,0.55,0,0,2,2.59
CUEN-883,OC1CCN(CC1)CC1CCCc2c1cccc2,C16H23NO,245.36,18,6,0.62,2,2,1,78.57,23.47,2.9,2.82,2.18,2.79,2.95,2.73,-3.25,0.137,0.000559,Soluble,-2.97,0.263,0.00107,Soluble,-3.6,0.0609,0.000248,Soluble,High,Yes,No,No,No,No,Yes,No,-5.79,0,0,0,0,0,0.55,0,0,1,2.8
CUEN-540,NCCCCCCNc1cccc2c1C(=O)N(C2=O)C1CCC(=O)NC1=O,C19H24N4O4,372.42,27,6,0.47,8,5,3,107,121.6,2.21,1.35,0.07,1.44,1.79,1.37,-2.64,8.61E-01,2.31E-03,Soluble,-3.51,1.16E-01,3.12E-04,Soluble,-5.12,2.86E-03,7.67E-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.61,0,0,0,0,0,0.55,0,1,2,3.25
CUEN-265,c1ccc(cc1)/C=C/1\CCCc2c1nccc2,C16H15N,221.3,17,12,0.19,1,1,0,72.07,12.89,2.8,3.62,3.85,3.37,4.44,3.62,-3.95,2.49E-02,1.12E-04,Soluble,-3.58,5.84E-02,2.64E-04,Soluble,-5.69,4.54E-04,2.05E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.08,0,0,0,0,1,0.55,0,0,2,2.57
CUEN-439,O=C(c1cccc(c1)[N+](=O)[O-])Cc1nc2c([nH]1)cccc2,C15H11N3O3,281.27,21,15,0.07,4,4,1,79.6,91.57,1.5,2.63,2.9,1.9,1.58,2.1,-3.51,8.79E-02,3.12E-04,Soluble,-4.2,1.76E-02,6.26E-05,Moderately soluble,-5.16,1.95E-03,6.93E-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.15,0,0,0,0,0,0.55,0,2,0,2.34
